,ela_drop
0,910-40wisconsin
1,340491250130001
2,060162090170003
3,070162050170002
4,4225-3445indiana
5,070162060170001
6,4710-4411indiana
7,2793-60wisconsin
8,1554-340wisconsin
9,3619-32wisconsin
10,4872-120wisconsin
11,6174-560wisconsin
12,4179-300wisconsin
13,8030-8457indiana
14,5663-280wisconsin
15,1554-400wisconsin
16,070162310160001
17,330942380260001
18,3339-120wisconsin
19,422-20wisconsin
20,700-40wisconsin
21,4781-180wisconsin
22,6244-20wisconsin
23,3030-2493indiana
24,4536-80wisconsin
25,060162090170002
26,3060-2505indiana
27,4620-492wisconsin
28,5607-270wisconsin
29,3619-29wisconsin
30,310451310220001
31,4228-80wisconsin
32,147-40wisconsin
33,4753-80wisconsin
34,3619-407wisconsin
35,2478-40wisconsin
36,6685-160wisconsin
37,3619-12wisconsin
38,112-40wisconsin
39,5375-5213indiana
40,1694-40wisconsin
41,15016299025042C
42,3070-2517indiana
43,2758-40wisconsin
44,2562-40wisconsin
45,6174-290wisconsin
46,4018-140wisconsin
47,3612-100wisconsin
48,15016299025032C
49,1414-20wisconsin
50,2793-580wisconsin
51,5370-5451indiana
52,070162280160003
53,4670-3924indiana
54,500822030170001
55,060162010170001
56,010011720220003
57,4710-4417indiana
58,5901-100wisconsin
59,4613-100wisconsin
60,8385-8993indiana
61,875-701indiana
62,4620-491wisconsin
63,340491130170002
64,4389-60wisconsin
65,190220940160001
66,1568-80wisconsin
67,5656-100wisconsin
68,050162070170004
69,235-102indiana
70,9905-7944indiana
71,5138-100wisconsin
72,3269-840wisconsin
73,3892-180wisconsin
74,5340-5307indiana
75,2058-180wisconsin
76,4501-180wisconsin
77,3437-110wisconsin
78,4970-35wisconsin
79,210281030130001
80,150162990250039
81,070162050170003
82,3619-14wisconsin
83,310450460220003
84,1729-40wisconsin
85,150162990250833
86,1862-140wisconsin
87,3619-26wisconsin
88,150162990250779
89,150162990250027
90,7205-7513indiana
91,15016299025028C
92,336-40wisconsin
93,235-105indiana
94,3269-360wisconsin
95,5330-5275indiana
96,440631550160003
97,3619-18wisconsin
98,300391860260001
99,340491130170001
100,3269-150wisconsin
101,15016299025033C
102,3290-140wisconsin
103,060162080170001
104,340491160260006
105,3794-120wisconsin
106,3549-60wisconsin
107,190220870170003
108,7205-7517indiana
109,7205-7505indiana
110,4710-4413indiana
111,4600-3809indiana
112,2289-540wisconsin
113,235-101indiana
