,math_drop
0,3070-2517indiana
1,070162330160001
2,3030-2493indiana
3,060162010170002
4,4710-4411indiana
5,3619-435wisconsin
6,875-701indiana
7,060162040170001
8,1554-340wisconsin
9,1554-400wisconsin
10,060162090170003
11,15016299025042C
12,235-101indiana
13,3549-60wisconsin
14,3060-2505indiana
15,1862-140wisconsin
16,4590-3791indiana
17,3269-840wisconsin
18,340492200260004
19,3269-360wisconsin
20,5330-5276indiana
21,5656-100wisconsin
22,2793-410wisconsin
23,150162990250779
24,4473-100wisconsin
25,4680-3965indiana
26,4620-492wisconsin
27,4670-3924indiana
28,4501-180wisconsin
29,4536-80wisconsin
30,4620-494wisconsin
31,4620-491wisconsin
32,4615-3833indiana
33,010011720220003
34,440631550160003
35,3822-60wisconsin
36,3619-29wisconsin
37,3619-32wisconsin
38,3619-38wisconsin
39,3619-407wisconsin
40,3619-434wisconsin
41,3619-8wisconsin
42,3892-180wisconsin
43,4389-60wisconsin
44,390550090260001
45,3934-40wisconsin
46,4018-140wisconsin
47,410570020260001
48,4690-4163indiana
49,4225-3445indiana
50,422-20wisconsin
51,4781-180wisconsin
52,470983010170001
53,7175-7353indiana
54,5747-180wisconsin
55,5901-100wisconsin
56,6174-290wisconsin
57,6174-560wisconsin
58,6244-20wisconsin
59,6560-6881indiana
60,6685-160wisconsin
61,7200-7461indiana
62,4710-4413indiana
63,7205-7505indiana
64,7205-7513indiana
65,777-20wisconsin
66,7995-8253indiana
67,8030-8441indiana
68,8030-8457indiana
69,8385-8993indiana
70,5740-6168indiana
71,560992100160004
72,560992100160002
73,560992100160001
74,4710-4417indiana
75,4740-4332indiana
76,4753-80wisconsin
77,3619-18wisconsin
78,4970-35wisconsin
79,500820770160001
80,500822030170001
81,510840150260001
82,510841860250002
83,5350-5353indiana
84,5370-5451indiana
85,5460-160wisconsin
86,5593-80wisconsin
87,5607-270wisconsin
88,560992050170001
89,3619-26wisconsin
90,340491210170001
91,3619-14wisconsin
92,15016299025043C
93,15016299025029C
94,15016299025031C
95,15016299025033C
96,15016299025034C
97,15016299025035C
98,15016299025041C
99,150162990250533
100,190220870170003
101,150162990250788
102,150162990250794
103,150162990250796
104,160194270260001
105,170-20wisconsin
106,3619-12wisconsin
107,15016299025028C
108,150162990250043
109,130950990160001
110,130582000170001
111,112-40wisconsin
112,070162300130001
113,070162200170001
114,070162050170003
115,070162050170001
116,060162120160002
117,060162090170002
118,060162000130001
119,050162110170003
120,050162070170004
121,050162070170003
122,050162030170001
123,050162020170001
124,190220860170001
125,1729-40wisconsin
126,190220940160001
127,190222030260001
128,3612-100wisconsin
129,3434-40wisconsin
130,340491280160002
131,340491250130001
132,030110030260006
133,340491160260006
134,340490600260022
135,330482050260023
136,3269-150wisconsin
137,310453010260001
138,310451310220001
139,310451290220001
140,3005-2499indiana
141,300391860260001
142,9905-7944indiana
143,2296-60wisconsin
144,225-91indiana
145,2758-40wisconsin
146,2604-20wisconsin
147,2562-40wisconsin
148,240473080260001
149,235-219indiana
150,235-177indiana
151,235-105indiana
152,190222030260013
153,280372290260001
154,2058-180wisconsin
155,210281030130001
156,2289-600wisconsin
157,2289-540wisconsin
158,5663-280wisconsin
159,060162080170001
160,060162010170001
161,336-40wisconsin
162,147-40wisconsin
